signal,choice,contrast
-0.85551,0,4.0188
-0.32019,0,4.0188
0.26748,1,4.8225
-0.59925,0,4.8225
0.20437,0,4.0188
0.056401,0,4.0188
-0.0084176,0,3.349
0.23322,0,3.349
-0.9865,1,4.0188
-0.13808,1,4.0188
-0.26928,0,3.349
-0.086458,0,3.349
0.16208,0,2.7908
0.6708,0,2.7908
0.57469,1,3.349
-0.61426,1,3.349
0.74386,1,3.0445
-0.32934,1,3.0445
-0.59405,0,3.349
0.24187,1,3.349
0.37289,1,3.0445
0.15631,1,3.0445
0.51868,1,3.349
0.38868,1,3.6839
-0.066281,1,3.6839
-0.58494,0,3.349
0.31156,1,3.349
0.33558,1,3.0445
-0.25516,1,3.0445
0.81763,1,2.7678
-0.087083,1,3.0445
-1.0445,1,3.0445
0.6785,1,3.1968
0.71277,1,3.1968
0.23807,1,3.0445
0.17636,0,3.0445
0.12457,1,2.8995
-0.028728,1,3.0445
0.033806,1,3.0445
-0.57648,1,2.8995
0.6937,1,2.8995
0.2381,1,2.7615
-0.083778,1,2.7615
0.41729,0,2.8995
-0.6638,0,3.0445
-0.035047,0,3.0445
0.18795,0,2.8995
0.012215,0,2.8995
-0.16765,1,2.7615
0.32878,1,2.7615
-0.11033,1,2.8995
0.34507,1,3.0445
0.15561,1,3.0445
0.36488,1,2.8995
0.28793,1,2.8995
-0.55949,1,2.7615
0.77298,1,2.8995
-0.4179,1,2.8995
-0.18496,0,3.0445
-0.453,1,3.0445
-0.18284,1,3.1968
-0.26364,0,3.1968
0.17764,0,3.0445
0.12069,1,3.0445
-1.2101,1,2.8995
-0.081988,0,3.0445
-0.45774,0,3.1968
-0.038275,1,3.1968
-0.020756,1,3.0445
0.7238,0,3.1968
-0.60816,0,3.3566
-0.39739,1,3.3566
0.067869,0,3.1968
-0.10932,1,3.1968
-0.079911,1,3.0445
-0.51111,1,3.0445
-0.13813,1,2.8995
-0.21599,1,2.8995
0.17364,1,3.0445
-0.53846,1,3.0445
-0.34143,1,2.8995
0.11279,1,2.8995
-0.85339,1,2.7615
-0.090637,1,2.7615
-0.049901,1,2.8995
0.007965,0,3.0445
-0.028607,1,3.0445
-0.42296,1,2.8995
-0.68853,1,2.8995
0.51428,1,2.7615
-0.86916,0,10
-0.76576,0,10
-0.35409,1,5
1.5688,1,5
-0.75794,1,2.5
-0.19219,1,5
-0.27923,0,5
-0.51831,1,2.5
0.07367,1,2.5
0.19481,1,1.25
0.35088,1,2.5
0.11057,0,5
-0.29207,0,5
-0.36924,0,2.5
-0.16275,0,2.5
0.20923,1,5
-0.18723,1,5
0.37289,0,3.3333
-0.82136,1,3.3333
0.24454,1,2.2222
0.053737,1,2.2222
-0.046392,1,3.3333
